id,full_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short,pos
7991,Aaron Connolly,24,1279,3,4.553525606,1,0.5620171577,36,6,0,0,F S,Brighton,Brighton,3,4.553525606,4.356782122,0.3541994113,Brighton,
534,Aaron Cresswell,31,2739,3,1.032538125,0,3.006656665,18,26,7,0,D,West Ham,West Ham,3,1.032538125,6.834942104,4.891463637,West Ham,
593,Aaron Lennon,16,466,0,0.02423142642,0,0.1580135822,1,2,4,0,M S,Burnley,Burnley,0,0.02423142642,0.2908954285,0.1086504199,Burnley,
6033,Aaron Mooy,31,2095,2,2.518191611,2,3.749102319,33,39,1,1,F M S,Brighton,Brighton,2,2.518191611,8.611672133,4.26419751,Brighton,
5603,Aaron Ramsdale,37,3330,0,0,1,0.5314233936,0,2,0,0,GK,Bournemouth,Bournemouth,0,0,2.167375199,1.635951802,Bournemouth,
5584,Aaron Wan-Bissaka,35,3075,0,0.8149191123,4,3.490916756,7,25,8,0,D M S,Manchester United,Man Utd,0,0.8149191123,14.16557976,11.52116862,Man Utd,
1726,Abdoulaye Doucouré,37,3189,4,5.280909617,2,4.084617623,61,38,8,0,M S,Watford,Watford,4,5.280909617,13.54045408,7.193617694,Watford,
8021,Adam Idah,12,197,0,0.8264870662,0,0.01502138004,6,1,0,0,F S,Norwich,Norwich,0,0.8264870662,0.8555927984,0.01408435032,Norwich,
486,Adam Lallana,15,362,1,0.8086850233,1,0.6536715552,5,4,1,0,M S,Liverpool,Liverpool,1,0.8086850233,3.720507052,2.313550264,Liverpool,
1441,Adam Masina,26,1818,1,0.8492825832,0,0.4176308392,15,10,3,0,D S,Watford,Watford,1,0.8492825832,2.981863494,2.145974055,Watford,
825,Adam Smith,24,2078,0,0.6926137796,1,1.273224204,4,10,7,0,D M,Bournemouth,Bournemouth,0,0.6926137796,5.350800078,4.599220164,Bournemouth,
7699,Adam Webster,31,2668,3,1.577792896,1,1.094376815,16,10,4,0,D,Brighton,Brighton,3,1.577792896,6.39076218,6.152603228,Brighton,
900,Adama Traoré,37,2596,4,3.707337396,9,7.551031334,43,49,1,0,F M S,Wolverhampton Wanderers,Wolves,4,3.707337396,15.27229515,5.655398901,Wolves,
527,Adrián,11,873,0,0,0,0,0,0,1,0,GK S,Liverpool,Liverpool,0,0,2.574331187,2.574331187,Liverpool,
524,Adrian Mariappa,20,1503,0,0.1671658717,0,0.2478996851,3,4,4,1,D S,Watford,Watford,0,0.1671658717,2.853157597,2.560190768,Watford,
1685,Ahmed El Mohamady,18,1007,1,0.1957340268,1,2.220943574,5,22,1,0,D M S,Aston Villa,Aston Villa,1,0.1957340268,3.627542907,2.72565309,Aston Villa,
1750,Ainsley Maitland-Niles,20,1372,0,0.5084081329,2,1.646096371,4,11,4,1,D S,Arsenal,Arsenal,0,0.5084081329,5.15650332,3.567148937,Arsenal,
8080,Akin Famewo,1,1,0,0,0,0,0,0,0,0,S,Norwich,Norwich,0,0,0,0,Norwich,
2673,Albian Ajeti,9,114,0,0.2023516838,0,0.03874383122,3,2,0,0,S,West Ham,West Ham,0,0.2023516838,0.273331942,0.03223643079,West Ham,
500,Alex Iwobi,25,1637,1,2.47862944,0,2.224674569,23,24,0,0,F M S,Everton,Everton,1,2.47862944,7.122992747,3.298394635,Everton,
635,Alex McCarthy,28,2520,0,0,0,0.02369353548,0,1,0,0,GK,Southampton,Southampton,0,0,3.154215794,3.130522259,Southampton,
966,Alex Oxlade-Chamberlain,30,1511,4,2.504467506,1,0.943688741,40,17,1,0,F M S,Liverpool,Liverpool,4,2.504467506,5.69325125,2.64896567,Liverpool,
791,Alexander Tettey,30,2372,1,0.6770779518,1,0.4899779018,23,5,5,0,D M S,Norwich,Norwich,1,0.6770779518,5.79071537,5.039048407,Norwich,
3277,Alexandre Lacazette,30,1890,10,8.664648203,4,3.342290916,52,24,8,0,F S,Arsenal,Arsenal,10,8.664648203,12.06130165,2.505634623,Arsenal,
8379,Alexis Mac Allister,9,357,0,0.5874678632,0,0.2033513142,7,5,0,0,F M S,Brighton,Brighton,0,0.5874678632,1.172587945,0.5007040575,Brighton,
6842,Alireza Jahanbakhsh,10,301,2,0.5862441808,0,0.9932846725,12,4,0,0,F M S,Brighton,Brighton,2,0.5862441808,1.588851389,0.7349357419,Brighton,
1257,Alisson,29,2545,0,0,1,0.2629152238,0,1,0,1,GK,Liverpool,Liverpool,0,0,6.831634546,6.568719337,Liverpool,
101,Allan Saint-Maximin,26,1896,3,2.942516947,4,4.331811693,46,33,0,0,F M S,Newcastle United,Newcastle,3,2.942516947,9.657795262,4.271792185,Newcastle,
2383,André Gomes,19,1457,0,0.2068473417,1,1.104507593,5,11,6,0,M S,Everton,Everton,0,0.2068473417,5.090313947,3.942985699,Everton,
1660,Andre Gray,23,725,2,2.589537688,0,1.86597465,19,10,1,0,F S,Watford,Watford,2,2.589537688,4.648880279,0.2978367396,Watford,
200,Andreas Christensen,21,1758,0,0.61414399,0,0.8512690179,7,4,5,0,D,Chelsea,Chelsea,0,0.61414399,6.598435763,6.25327969,Chelsea,
922,Andreas Pereira,25,1501,1,2.285591887,3,3.707923245,37,31,3,0,M S,Manchester United,Man Utd,1,2.285591887,8.948890056,4.526673386,Man Utd,
1688,Andrew Robertson,36,3114,2,1.81459292,12,7.897493236,22,60,2,0,D S,Liverpool,Liverpool,2,1.81459292,20.39599831,15.31265719,Liverpool,
460,Andrew Surman,5,230,0,0.02773614228,0,0.04897062108,1,1,1,0,M S,Bournemouth,Bournemouth,0,0.02773614228,0.9394944869,0.890523877,Bournemouth,
6274,Andriy Yarmolenko,23,979,5,2.625594977,1,3.426018501,26,19,2,0,M S,West Ham,West Ham,5,2.625594977,6.919684391,1.962578436,West Ham,
775,Andros Townsend,24,1272,1,0.3956621457,1,1.713790767,12,13,0,0,M S,Crystal Palace,Crystal Palace,1,0.3956621457,2.36252716,1.20086788,Crystal Palace,
537,Andy Carroll,19,582,0,1.494794494,4,0.9094429472,16,12,1,0,F S,Newcastle United,Newcastle,0,1.494794494,2.188728731,1.049436074,Newcastle,
5598,Angel Gomes,2,17,0,0,0,0.2292032838,0,2,0,0,S,Manchester United,Man Utd,0,0,0.2523972839,0.1622157842,Man Utd,
1040,Angelino,6,417,0,0.2092329338,0,1.923204936,5,9,1,0,D S,Manchester City,Man City,0,0.2092329338,2.763353288,2.369252861,Man City,
528,Angelo Ogbonna,31,2790,2,1.303147158,0,0.07013970427,13,2,4,0,D,West Ham,West Ham,2,1.303147158,2.947999261,2.816510731,West Ham,
5544,Angus Gunn,10,900,0,0,0,0,0,0,0,0,GK,Southampton,Southampton,0,0,0.4860546291,0.4860546291,Southampton,
8150,Anthony Gordon,11,438,0,0.3270713575,1,0.3399497494,6,6,0,0,M S,Everton,Everton,0,0.3270713575,0.8956372105,0.328934893,Everton,
553,Anthony Martial,32,2672,17,13.24049478,6,4.618776655,80,30,1,0,F S,Manchester United,Man Utd,17,12.47932606,20.40956319,6.357817467,Man Utd,
1822,Antonio Rüdiger,20,1710,2,0.9304546975,0,1.177513458,12,5,3,0,D S,Chelsea,Chelsea,2,0.9304546975,6.220131254,6.190619096,Chelsea,
5612,Anwar El Ghazi,34,2082,4,6.381360174,4,2.877201503,53,30,3,0,F M S,Aston Villa,Aston Villa,3,5.620191337,8.016558893,2.210284133,Aston Villa,
8384,Armando Broja,1,4,0,0,0,0,0,0,0,0,S,Chelsea,Chelsea,0,0,0.02087278292,0.02087278292,Chelsea,
8066,Arnaut Danjuma Groeneveld,14,614,0,1.048507299,0,0.1639102288,13,5,0,0,M S,Bournemouth,Bournemouth,0,1.048507299,1.204533551,0.2690830585,Bournemouth,
1760,Arthur Masuaku,17,925,0,0.09922112525,1,1.252851464,5,7,4,1,D M S,West Ham,West Ham,0,0.09922112525,3.070639553,2.874283677,West Ham,
4422,Ashley Barnes,19,1386,6,6.516927354,0,0.308820501,40,5,4,0,F S,Burnley,Burnley,5,5.755758502,5.060966618,1.574079214,Burnley,
669,Ashley Westwood,35,3150,2,1.175162575,6,7.076901875,13,54,9,0,M,Burnley,Burnley,2,1.175162575,9.225508247,6.144054685,Burnley,
631,Ashley Young,12,956,0,0.08267359249,0,1.668738812,3,19,5,0,D M S,Manchester United,Man Utd,0,0.08267359249,3.162055077,2.879492687,Man Utd,
934,Axel Tuanzebe,5,186,0,0,0,0,0,0,0,0,D S,Manchester United,Man Utd,0,0,0.1738492474,0.1738492474,Man Utd,
2498,Aymeric Laporte,15,1112,1,0.7192277312,0,0.1790373102,4,3,1,0,D S,Manchester City,Man City,1,0.7192277312,7.432042468,7.252388287,Man City,
770,Ayoze Pérez,33,2045,8,6.557796832,4,4.091643615,47,28,0,0,F M S,Leicester,Leicester,7,5.796627995,12.85032268,4.473776834,Leicester,
782,Ben Chilwell,27,2382,3,1.097727578,3,3.535527088,16,33,3,0,D M,Leicester,Leicester,3,1.097727578,10.08815698,8.040457761,Leicester,
660,Ben Davies,18,1434,0,0.2192515414,0,0.9578831643,7,9,6,0,D M S,Tottenham,Spurs,0,0.2192515414,4.067890851,3.523901632,Spurs,
803,Ben Foster,38,3420,0,0.3458039165,0,0.03670657054,1,1,1,0,GK,Watford,Watford,0,0.3458039165,1.580454676,1.543748102,Watford,
7689,Ben Godfrey,30,2649,0,0.8582227929,0,0.07431055047,15,3,3,1,D,Norwich,Norwich,0,0.8582227929,6.353033338,6.246153906,Norwich,
6424,Ben Johnson,3,270,0,0.01531477179,0,0.02896940894,1,1,0,0,D,West Ham,West Ham,0,0.01531477179,0.4228672236,0.4228672236,West Ham,
1654,Ben Mee,32,2880,1,1.304819609,1,1.779614417,17,9,7,0,D,Burnley,Burnley,1,1.304819609,1.880477197,1.744089734,Burnley,
7714,Ben Osborn,13,586,0,0.195210319,0,0.8878793344,3,7,0,0,M S,Sheffield United,Sheffield Utd,0,0.195210319,2.333208814,1.588596284,Sheffield Utd,
3389,Benjamin Mendy,19,1508,0,0.3174633514,3,1.626008035,10,21,3,0,D M S,Manchester City,Man City,0,0.3174633514,10.95017843,10.00816064,Man City,
7063,Bernard,27,1267,3,1.697565462,2,2.303722244,12,24,2,0,M S,Everton,Everton,3,1.697565462,6.573716749,3.049445613,Everton,
5245,Bernardo,14,678,0,0.4542924184,0,0.9403805733,7,4,1,0,D M S,Brighton,Brighton,0,0.4542924184,2.120071644,1.333890948,Brighton,
3635,Bernardo Silva,34,2020,6,7.420340553,7,6.312828656,52,51,5,0,F M S,Manchester City,Man City,6,7.420340553,23.83779613,14.72735246,Man City,
181,Bernd Leno,30,2649,0,0,0,0,0,0,2,0,GK,Arsenal,Arsenal,0,0,4.038202188,4.038202188,Arsenal,
7988,Billy Gilmour,6,190,0,0.02842735313,0,0.1880257018,1,4,0,0,M S,Chelsea,Chelsea,0,0.02842735313,1.926147915,1.738122299,Chelsea,
7712,Billy Sharp,25,1045,3,4.138954329,2,3.010327695,16,15,1,1,F S,Sheffield United,Sheffield Utd,3,4.138954329,5.81258146,1.03714823,Sheffield Utd,
7152,Björn Engels,17,1447,1,0.7842208203,0,0.1433622651,8,2,1,0,D S,Aston Villa,Aston Villa,1,0.7842208203,3.801219388,3.748132407,Aston Villa,
1701,Borja Bastón,2,9,0,0,0,0,0,0,0,0,S,Aston Villa,Aston Villa,0,0,0,0,Aston Villa,
8216,Brandon Pierrick,2,10,0,0,0,0.09551873803,0,2,0,0,S,Crystal Palace,Crystal Palace,0,0,0.09551873803,0,Crystal Palace,
8075,Brandon Williams,17,1005,1,0.9978843369,0,0.6670700368,6,13,6,0,D M S,Manchester United,Man Utd,1,0.9978843369,5.710485708,4.348557124,Man Utd,
1228,Bruno Fernandes,14,1211,8,5.986080505,7,2.755000275,44,30,2,0,M,Manchester United,Man Utd,4,2.941441901,8.513760548,4.864245452,Man Utd,
6336,Bruno Jordao,1,1,0,0,0,0.04612561315,0,1,0,0,S,Wolverhampton Wanderers,Wolves,0,0,0,0,Wolves,
7322,Bukayo Saka,26,1769,1,1.142438736,5,3.680353556,13,21,6,0,D F M S,Arsenal,Arsenal,1,1.142438736,7.812505633,5.022924855,Arsenal,
5264,Caglar Söyüncü,34,3042,1,1.431615431,1,0.3101936616,17,5,4,1,D,Leicester,Leicester,1,1.431615431,6.562317109,6.455812385,Leicester,
6456,Callum Hudson-Odoi,22,816,1,2.015142947,5,2.708166324,21,20,1,0,F M S,Chelsea,Chelsea,1,2.015142947,7.247335625,3.847064415,Chelsea,
4476,Callum Robinson,16,674,1,1.561250001,1,0.6526464708,12,4,1,0,F S,Sheffield United,Sheffield Utd,1,1.561250001,2.835600728,0.7018386433,Sheffield Utd,
468,Callum Wilson,35,2916,8,9.842873976,1,3.349536281,53,30,10,0,F S,Bournemouth,Bournemouth,8,9.842873976,12.56294923,2.707836364,Bournemouth,
508,Calum Chambers,14,1102,1,0.6329495339,1,2.241443794,12,7,5,0,D S,Arsenal,Arsenal,1,0.6329495339,4.406148262,3.210471027,Arsenal,
667,Carlos Sánchez,6,107,0,0,0,0,0,0,0,0,M S,West Ham,West Ham,0,0,0.2528740615,0.2528740615,West Ham,
847,Cédric Soares,21,1567,1,0.6565496931,1,0.8299598508,10,12,1,0,D M S,"Arsenal,Southampton",Southampton,1,0.6565496931,3.043896351,1.997348931,Arsenal,
6477,Cenk Tosun,10,467,2,1.912885755,0,0.6228388315,15,5,0,0,F S,"Crystal Palace,Everton",Everton,2,1.912885755,2.320384614,0.2623028755,Everton,
681,César Azpilicueta,36,3234,2,2.594344435,6,6.033903409,29,45,1,0,D M,Chelsea,Chelsea,2,2.594344435,18.32702097,14.6431766,Chelsea,
459,Charlie Daniels,2,126,0,0,0,0.1417223662,0,2,0,0,D,Bournemouth,Bournemouth,0,0,0.4943442643,0.4184972346,Bournemouth,
6044,Charlie Taylor,24,1938,0,0.01400625706,1,0.8630979043,1,12,3,0,D S,Burnley,Burnley,0,0.01400625706,3.498769421,3.250042129,Burnley,
7700,Che Adams,30,1096,4,5.865681563,2,1.988808864,36,13,0,0,F S,Southampton,Southampton,4,5.865681563,7.280021018,1.205721572,Southampton,
532,Cheikhou Kouyaté,35,2560,1,2.117945788,1,0.7690878008,24,10,4,0,D M S,Crystal Palace,Crystal Palace,1,2.117945788,3.46302138,1.339796004,Crystal Palace,
191,Chicharito,2,107,1,0.8829848766,0,0,3,0,0,0,F S,West Ham,West Ham,1,0.8829848766,0.8958585262,0.0704786852,West Ham,
7704,Chris Basham,38,3275,0,0.3295389237,1,1.312220134,6,13,4,0,D,Sheffield United,Sheffield Utd,0,0.3295389237,4.455961814,4.018944854,Sheffield Utd,
7384,Chris Mepham,12,909,1,1.053304762,0,0.07673638314,7,1,1,0,D S,Bournemouth,Bournemouth,1,1.053304762,0.9437225051,0.7480950877,Bournemouth,
4456,Chris Wood,32,2462,14,17.22620152,1,1.470996089,65,22,1,0,F S,Burnley,Burnley,13,16.46503271,12.64265088,2.455410915,Burnley,
2344,Christian Atsu,19,733,0,0.2463567238,3,0.7123019937,5,13,2,0,M S,Newcastle United,Newcastle,0,0.2463567238,1.533489108,0.7073047198,Newcastle,
606,Christian Benteke,24,1249,2,4.627831593,1,2.459479935,41,19,4,1,F S,Crystal Palace,Crystal Palace,2,4.627831593,6.465700822,0.7189465072,Crystal Palace,
646,Christian Eriksen,20,1075,2,1.764430705,2,2.259517334,26,23,5,0,F M S,Tottenham,Spurs,2,1.764430705,4.081463946,1.779374362,Spurs,
749,Christian Fuchs,11,760,0,0.1832248094,0,0.1009338349,5,2,0,0,D M S,Leicester,Leicester,0,0.1832248094,4.192030072,4.115167767,Leicester,
1725,Christian Kabasele,27,2261,0,0.8253115127,2,0.6392174754,9,5,1,2,D S,Watford,Watford,0,0.8253115127,2.303734001,2.278400663,Watford,
2662,Christian Pulisic,25,1738,9,8.925186411,4,4.296079734,63,30,0,0,F M S,Chelsea,Chelsea,9,8.925186411,16.7466635,7.069776656,Chelsea,
7990,Christoph Zimmermann,17,1424,0,0.2578011816,1,0.07527197711,6,2,3,0,D S,Norwich,Norwich,0,0.2578011816,2.754293101,2.70889226,Norwich,
875,Ciaran Clark,14,1192,2,0.7519120462,0,0.05486181378,6,1,3,0,D,Newcastle United,Newcastle,2,0.7519120462,2.049424434,2.008845856,Newcastle,
1731,Claudio Bravo,4,347,0,0,0,0,0,0,0,0,GK S,Manchester City,Man City,0,0,0.7041245028,0.7041245028,Man City,
519,Connor Wickham,6,78,1,1.115554228,1,0.4237448163,3,3,0,0,S,Crystal Palace,Crystal Palace,1,1.115554228,1.451029047,0.01951832324,Crystal Palace,
6851,Conor Coady,38,3420,0,0,0,0.5321237147,0,5,5,0,D,Wolverhampton Wanderers,Wolves,0,0,9.533743877,9.087924179,Wolves,
7721,Conor Hourihane,27,1549,3,1.628339322,5,5.731440917,29,38,4,0,M S,Aston Villa,Aston Villa,3,1.628339322,6.007942509,3.157467728,Aston Villa,
581,Craig Cathcart,29,2490,0,0.1851756275,0,0.07538784668,2,2,7,0,D S,Watford,Watford,0,0.1851756275,2.232964621,2.1953315,Watford,
804,Craig Dawson,29,2356,2,2.240868636,0,0.3374612331,26,5,6,0,D S,Watford,Watford,2,2.240868636,4.197167753,3.989171052,Watford,
6665,Curtis Jones,6,108,1,0.8147163466,0,0,6,0,0,0,M S,Liverpool,Liverpool,1,0.8147163466,1.367407814,0.9333235323,Liverpool,
6051,Dale Stephens,33,2528,0,0.4441342307,1,1.247191878,19,18,8,0,M S,Brighton,Brighton,0,0.4441342307,7.186789788,6.239625992,Brighton,
7382,Dan Burn,34,2879,0,1.905361064,0,1.673676011,13,20,5,0,D M S,Brighton,Brighton,0,1.905361064,7.785169064,6.515010974,Brighton,
462,Dan Gosling,24,1255,3,2.929863861,1,1.369174778,13,10,3,0,M S,Bournemouth,Bournemouth,3,2.929863861,3.787046971,1.441902149,Bournemouth,
2446,Dani Ceballos,24,1722,0,0.4700741358,2,1.576143669,13,28,1,0,M S,Arsenal,Arsenal,0,0.4700741358,8.663117463,7.352911368,Arsenal,
752,Daniel Drinkwater,5,331,0,0.09826851636,0,0.04028614238,2,1,1,0,M,"Aston Villa,Burnley",Aston Villa,0,0.09826851636,0.8360577337,0.7377892174,Chelsea,
5595,Daniel James,33,2291,3,3.603131093,6,4.264184529,42,26,4,0,F M S,Manchester United,Man Utd,3,3.603131093,11.15898939,5.398974547,Man Utd,
8291,Daniel Podence,9,284,1,1.35931433,0,0.7727443874,10,5,0,0,F S,Wolverhampton Wanderers,Wolves,1,1.35931433,2.383341692,0.5978078842,Wolves,
986,Danny Ings,38,2836,22,15.65971717,2,2.849085093,93,35,3,0,F M S,Southampton,Southampton,21,14.13737948,18.4880315,5.015938126,Southampton,
641,Danny Rose,23,1766,0,0.08819849417,0,0.8805743009,2,14,7,0,D M S,"Newcastle United,Tottenham",Newcastle,0,0.08819849417,2.99389316,2.684895511,Newcastle,
501,Danny Welbeck,18,791,2,3.385595039,0,0.2354272772,22,3,0,0,F M S,Watford,Watford,2,3.385595039,3.556654464,0.2847990179,Watford,
540,Darren Randolph,2,180,0,0,0,0,0,0,0,0,GK,West Ham,West Ham,0,0,0,0,West Ham,
764,Daryl Janmaat,8,611,0,0.3307649661,1,0.3983301111,4,6,1,0,D M S,Watford,Watford,0,0.3307649661,1.803520592,1.27393504,Watford,
6820,David Brooks,9,533,1,0.4326113164,0,0.5346464301,6,6,1,0,M S,Bournemouth,Bournemouth,1,0.4326113164,0.8643900305,0.1321054567,Bournemouth,
546,David de Gea,38,3420,0,0,0,0,0,0,2,0,GK,Manchester United,Man Utd,0,0,4.695210683,4.695210683,Man Utd,
1676,David Luiz,33,2818,2,1.560153572,1,0.7974880058,23,4,5,2,D S,Arsenal,Arsenal,2,1.560153572,9.724225353,8.911323082,Arsenal,
8082,David Martin,5,436,0,0,0,0,0,0,1,0,GK S,West Ham,West Ham,0,0,0.1621192098,0.1621192098,West Ham,
7711,David McGoldrick,28,1841,2,8.715956422,2,2.095128213,45,17,2,0,F S,Sheffield United,Sheffield Utd,2,8.715956422,12.23881134,3.086360356,Sheffield Utd,
617,David Silva,27,1846,5,6.932368677,10,7.650987539,46,49,0,0,M S,Manchester City,Man City,5,6.932368677,24.68700399,12.76422046,Man City,
6249,Davinson Sánchez,29,2433,0,0.7553703748,0,0.03628891706,7,1,6,0,D S,Tottenham,Spurs,0,0.7553703748,7.255796818,7.219507901,Spurs,
